1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL										
7907	STRIGIFORMES	Strigidae	Ninox mindorensis	Ogilvie-Grant	1896	Ibis (Ser. 7) 2: 463	https://biodiversitylibrary.org/page/16281563										
7908	STRIGIFORMES	Strigidae	Ninox sumbaensis	"Olsen, Wink, Sauer-Gürth & Trost"	2002	Emu 102: 225	https://doi.org/10.1071/MU02006										
7909	STRIGIFORMES	Strigidae	Ninox burhani	Indrawan & Somadikarta	2004	Bull. B.O.C. 124: 162	https://biodiversitylibrary.org/page/40056143										
7910	STRIGIFORMES	Strigidae	Ninox ochracea	(Schlegel)	1866	Nederl. Tijdschr. Dierk. 3: 183	https://biodiversitylibrary.org/page/49109684										
7911	STRIGIFORMES	Strigidae	Ninox ios	Rasmussen	1999	"Wilson Bull. 111: front, 458"	https://biodiversitylibrary.org/page/53462268										
7912	STRIGIFORMES	Strigidae	Ninox hypogramma	"(Gray, GR)"	1861	Proc. Zool. Soc. London (1861): 344	https://biodiversitylibrary.org/page/12866912										
7913	STRIGIFORMES	Strigidae	Ninox hantu	(Wallace)	1863	Proc. Zool. Soc. London (1863): 22	https://biodiversitylibrary.org/page/30681278										
7914	STRIGIFORMES	Strigidae	Ninox squamipila	(Bonaparte)	1850	Consp. Gen. Av. 1: 41	https://biodiversitylibrary.org/page/43560066										
7915	STRIGIFORMES	Strigidae	Ninox forbesi	"Sclater, PL"	1883	Proc. Zool. Soc. London (1883): 52 pl. 11	https://biodiversitylibrary.org/page/28679826										
7916	STRIGIFORMES	Strigidae	Ninox natalis	Lister	1889	Proc. Zool. Soc. London (1888): 525	https://biodiversitylibrary.org/page/31826030										
7917	STRIGIFORMES	Strigidae	Ninox meeki	"Rothschild & Hartert, E"	1914	Bull. B.O.C. 33: 105	https://biodiversitylibrary.org/page/32475895										
7918	STRIGIFORMES	Strigidae	Ninox theomacha	(Bonaparte)	1855	Compt. Rend. 41: 654	https://biodiversitylibrary.org/page/13834768										
7919	STRIGIFORMES	Strigidae	Ninox theomacha goldii	Gurney Sr	1883	Ibis (Ser. 5) 1: 171	https://biodiversitylibrary.org/page/16242970										
7920	STRIGIFORMES	Strigidae	Ninox theomacha theomacha	(Bonaparte)	1855	Compt. Rend. 41: 654	https://biodiversitylibrary.org/page/13834768										
7921	STRIGIFORMES	Strigidae	Ninox theomacha rosseliana	Tristram	1889	Ibis (Ser. 6) 1:557	https://biodiversitylibrary.org/page/16280937										
7922	STRIGIFORMES	Strigidae	Ninox punctulata	(Quoy & Gaimard)	1832	Voy. Astrolabe Zool. 1: 165 Atlas Ois. pl. 1 fig. 1 1											
7923	STRIGIFORMES	Strigidae	Ninox odiosa	"Sclater, PL"	1877	Proc. Zool. Soc. London (1877): 108	https://biodiversitylibrary.org/page/28510674										
7924	STRIGIFORMES	Strigidae	Ninox variegata	(Quoy & Gaimard)	1832	Voy. Astrolabe Zool. 1: 166 Atlas Ois. pl. 1 fig. 2 2											
7925	STRIGIFORMES	Strigidae	Ninox variegata superior	"Hartert, E"	1925	Novit. Zool. 32: 121	https://biodiversitylibrary.org/page/3243353										
7926	STRIGIFORMES	Strigidae	Ninox variegata variegata	(Quoy & Gaimard)	1832	Voy. Astrolabe Zool. 1: 166 Atlas Ois. pl. 1 fig. 2 2											
7927	STRIGIFORMES	Strigidae	Margarobyas	Olson & Suárez	2008												
7928	STRIGIFORMES	Strigidae	Margarobyas lawrencii	"(Sclater, PL & Salvin)"	1868	Proc. Zool. Soc. London (1868): 327 pl. 29	https://biodiversitylibrary.org/page/28664862										
7929	STRIGIFORMES	Strigidae	Taenioptynx	Kaup	1848												
