Taxon ORDER Family TBrLenx1000
_Charmosyna_wilhelminae PSITTACIFORMES Psittaculidae 0.0023604
_Melopsittacus_undulatus PSITTACIFORMES Psittaculidae 0.0023283
_Cyclopsitta_diophthalma PSITTACIFORMES Psittaculidae 0.0021241
_Psittaculirostris_edwardsii PSITTACIFORMES Psittaculidae 0.0021306
_Psittacula_alexandri PSITTACIFORMES Psittaculidae 0.0020128
_Alisterus_scapularis PSITTACIFORMES Psittaculidae 0.0020128
_Micropsitta_finschii PSITTACIFORMES Psittaculidae 0.0021284
_Psittrichas_fulgidus PSITTACIFORMES Psittaculidae 0.0025672
_Amazona_autumnalis PSITTACIFORMES Psittacidae 0.0024208
_Ara_macao PSITTACIFORMES Psittacidae 0.0020128
_Deroptyus_accipitrinus PSITTACIFORMES Psittacidae 0.002853
_Psittacus_erithacus PSITTACIFORMES Psittacidae 0.0025803
_Cacatua_sulphurea PSITTACIFORMES Cacatuidae 0.0020128
_Probosciger_aterrimus PSITTACIFORMES Cacatuidae 0.0020128
_Nestor_meridionalis PSITTACIFORMES Strigopidae 0.0025913
_Nestor_notabilis PSITTACIFORMES Strigopidae 0.0020131
_Falco_mexicanus FALCONIFORMES Falconidae 0.002783
_Falco_cherrug FALCONIFORMES Falconidae 0.0020128
_Falco_peregrinus FALCONIFORMES Falconidae 0.0020128
_Falco_sparverius FALCONIFORMES Falconidae 0.0029776
_Daptrius_ater FALCONIFORMES Falconidae 0.0026843
_Ibycter_americanus FALCONIFORMES Falconidae 0.0026011
_Caracara_cheriway FALCONIFORMES Falconidae 0.0020733
_Herpetotheres_cachinnans FALCONIFORMES Falconidae 0.0024535
_Micrastur_semitorquatus FALCONIFORMES Falconidae 0.00272
_Micrastur_gilvicollis FALCONIFORMES Falconidae 0.0026222
_Cariama_cristata CARIAMIFORMES Cariamidae 0.0022685
_Chunga_burmeisteri CARIAMIFORMES Cariamidae 0.0029225
_Dryocopus_pileatus PICIFORMES Picidae 0.0026238
_Picus_canus PICIFORMES Picidae 0.0022621
_Sphyrapicus_varius PICIFORMES Picidae 0.0023695
_Dryobates_pubescens PICIFORMES Picidae 0.002357
_Jynx_torquilla PICIFORMES Picidae 0.0020128
_Jynx_ruficollis PICIFORMES Picidae 0.0020128
_Indicator_exilis PICIFORMES Indicatoridae 0.0021602
_Indicator_maculatus PICIFORMES Indicatoridae 0.0027514
_Prodotiscus_insignis PICIFORMES Indicatoridae 0.0022394
_Capito_niger PICIFORMES Capitonidae 0.0020128
_Ramphastos_ambiguus PICIFORMES Ramphastidae 0.0020128
_Pogoniulus_bilineatus PICIFORMES Lybiidae 0.0020128
_Buccanodon_duchaillui PICIFORMES Lybiidae 0.0028542
_Psilopogon_virens PICIFORMES Megalaimidae 0.002591
_Psilopogon_chrysopogon PICIFORMES Megalaimidae 0.0020128
_Bucco_capensis PICIFORMES Bucconidae 0.0026717
_Bucco_macrodactylus PICIFORMES Bucconidae 0.0027765
_Chelidoptera_tenebrosa PICIFORMES Bucconidae 0.0020735
_Malacoptila_fusca PICIFORMES Bucconidae 0.0025564
_Nonnula_ruficapilla PICIFORMES Bucconidae 0.0022235
_Galbula_albirostris PICIFORMES Galbulidae 0.0021082
_Galbula_dea PICIFORMES Galbulidae 0.0020128
_Galbula_leucogastra PICIFORMES Galbulidae 0.0020128
_Galbula_chalcothorax PICIFORMES Galbulidae 0.0020128
_Brachygalba_albogularis PICIFORMES Galbulidae 0.0021045
_Halcyon_senegalensis CORACIIFORMES Alcedinidae 0.0020128
_Pelargopsis_capensis CORACIIFORMES Alcedinidae 0.0020018
_Lacedo_pulchella CORACIIFORMES Alcedinidae 0.0023024
_Todiramphus_tutus CORACIIFORMES Alcedinidae 0.0020128
_Syma_megarhyncha CORACIIFORMES Alcedinidae 0.0020128
_Actenoides_lindsayi CORACIIFORMES Alcedinidae 0.739377
_Caridonax_fulgidus CORACIIFORMES Alcedinidae 3.86473
_Dacelo_novaeguineae CORACIIFORMES Alcedinidae 0.002019
_Dacelo_gaudichaud CORACIIFORMES Alcedinidae 0.0020128
_Clytoceyx_rex CORACIIFORMES Alcedinidae 0.0027572
_Melidora_macrorrhina CORACIIFORMES Alcedinidae 0.0026284
_Tanysiptera_sylvia CORACIIFORMES Alcedinidae 1.23401
_Megaceryle_alcyon CORACIIFORMES Alcedinidae 0.0022815
_Chloroceryle_inda CORACIIFORMES Alcedinidae 0.0025342
_Chloroceryle_aenea CORACIIFORMES Alcedinidae 0.0029107
_Ceryle_rudis CORACIIFORMES Alcedinidae 0.0023146
_Alcedo_quadribrachys CORACIIFORMES Alcedinidae 0.0026113
_Alcedo_atthis CORACIIFORMES Alcedinidae 0.002378
_Ceyx_collectoris CORACIIFORMES Alcedinidae 0.0020157
_Corythornis_cristatus CORACIIFORMES Alcedinidae 0.0020128
_Corythornis_leucogaster CORACIIFORMES Alcedinidae 0.002019
_Ispidina_lecontei CORACIIFORMES Alcedinidae 0.0025456
_Momotus_momota CORACIIFORMES Momotidae 0.0024327
_Hylomanes_momotula CORACIIFORMES Momotidae 0.0026187
_Momotus_lessonii CORACIIFORMES Momotidae 0.0028795
_Todus_angustirostris CORACIIFORMES Todidae 0.0028943
_Todus_mexicanus CORACIIFORMES Todidae 0.0022621
_Coracias_caudatus CORACIIFORMES Coraciidae 0.0020128
_Coracias_abyssinicus CORACIIFORMES Coraciidae 0.0020128
_Coracias_cyanogaster CORACIIFORMES Coraciidae 0.0028663
_Atelornis_pittoides CORACIIFORMES Brachypteraciidae 0.0020128
_Geobiastes_squamiger CORACIIFORMES Brachypteraciidae 0.0020128
_Merops_nubicus CORACIIFORMES Meropidae 0.0028739
_Merops_muelleri CORACIIFORMES Meropidae 0.0026213
_Nyctyornis_amictus CORACIIFORMES Meropidae 0.0024027
_Buceros_rhinoceros BUCEROTIFORMES Bucerotidae 0.0020128
_Lophoceros_camurus BUCEROTIFORMES Bucerotidae 0.0026658
_Bucorvus_leadbeateri BUCEROTIFORMES Bucorvidae 0.0027941
_Bucorvus_abyssinicus BUCEROTIFORMES Bucorvidae 0.0021679
_Upupa_epops BUCEROTIFORMES Upupidae 0.0027584
_Phoeniculus_purpureus BUCEROTIFORMES Phoeniculidae 0.0023294
_Rhinopomastus_cyanomelas BUCEROTIFORMES Phoeniculidae 0.002192
_Apaloderma_vittatum TROGONIFORMES Trogonidae 0.0024488
_Apaloderma_aequatoriale TROGONIFORMES Trogonidae 0.0020128
_Apaloderma_narina TROGONIFORMES Trogonidae 0.0020128
_Trogon_personatus TROGONIFORMES Trogonidae 0.0027312
_Trogon_elegans TROGONIFORMES Trogonidae 0.0020128
_Pharomachrus_auriceps TROGONIFORMES Trogonidae 0.0020128
_Leptosomus_discolor LEPTOSOMIFORMES Leptosomidae 0.0026438
_Colius_colius COLIIFORMES Coliidae 0.0020128
_Colius_striatus COLIIFORMES Coliidae 0.0020128
_Urocolius_indicus COLIIFORMES Coliidae 0.0026047
_Strix_varia STRIGIFORMES Strigidae 0.0021902
_Strix_occidentalis STRIGIFORMES Strigidae 0.0025085
_Athene_cunicularia STRIGIFORMES Strigidae 0.0023337
_Tyto_alba STRIGIFORMES Tytonidae 0.0025621
_Phodilus_badius STRIGIFORMES Tytonidae 0.0020128
_Aquila_chrysaetos ACCIPITRIFORMES Accipitridae 0.0024053
_Buteo_jamaicensis ACCIPITRIFORMES Accipitridae 0.0021542
_Haliaeetus_albicilla ACCIPITRIFORMES Accipitridae 0.0020128
_Haliaeetus_leucocephalus ACCIPITRIFORMES Accipitridae 0.0020128
_Accipiter_superciliosus ACCIPITRIFORMES Accipitridae 0.0028553
_Elanoides_forficatus ACCIPITRIFORMES Accipitridae 0.0026779
_Gampsonyx_swainsonii ACCIPITRIFORMES Accipitridae 0.0020128
_Elanus_leucurus ACCIPITRIFORMES Accipitridae 0.0020128
